number,position,value
255,542,すたっふどおりーぶ
256,544,あまがき
257,546,ほしがき
258,548,おんしゅうみかん
259,550,みかんじゅーすすとれーと
260,552,みかんじゅーすのうしゅく
261,554,みかんかじついりじゅーす
262,560,みかんかんづめ
263,562,ねーぶる
264,564,ばれんしあおれんじ
265,566,おれんじすとれーとじゅーす
266,568,おれんじのうしゅくかんげんじゅーす
267,574,おれんじまーまれーど
268,576,おれんじまーまれーどていとう
269,578,おろぶらんこ
270,580,かわちばんかん
271,582,きよみおれんじ
272,584,きんかん
273,586,ぐれーぷふるーつほわいと
274,588,ぐれーぷふるーつぴんく
275,590,ぐれーぷぶるーつじゅーすすとれーと
276,592,ぐれーぷふるーつじゅーすのうしゅくかんげん
277,598,ぐれーぷふるーつかんづめ
278,599,さんぼうかん
279,601,しーくわーさーかじゅう
280,605,だいだいかじゅう
281,607,なつみかん
282,609,なつみかんかんづめ
283,611,はるみおれんじ
284,613,ひゅうがなつ
285,615,ざぼんづけ
286,617,れもん
287,619,きういふるーつぐりーん
288,621,きういふるーつごーるど
289,623,きわの
290,625,ぐあばあか
291,627,ぐあばしろ
292,633,ぐーずべりー
293,635,ぐみ
294,637,ここなっつうおーたー
295,639,ここなっつみるく
296,641,さくらんぼ
297,643,ちぇりー
298,645,さくらんぼかんづめ
299,647,ざくろ
300,649,すいかあか
301,651,すもも
302,653,ぷるーん
303,655,ぷるーんどらいふるーつ
304,657,ちぇりもや
305,659,どりあん
306,661,にほんなし
307,663,にほんなしかんづめ
308,665,せいようなし
309,667,せいようなしかんづめ
310,669,なつめ
311,671,なつめやし
312,673,ぱいんじゅーす
313,675,ぱいんじゅーすのうしゅくかんげん
314,681,ぱいなっぷるかんづめ
315,683,ぱいなっぷるしろっぷづけ
316,685,はすかっぷ
317,687,ぱっしょんふるーつじゅーす
318,689,ばなな
319,691,ぱぱいあ
320,693,びわ
321,695,びわかんづめ
322,697,ぶどう
323,699,ほしぶどう
324,701,ぶどうじゅーすすとれーと
325,703,ぶどうじゅーすのうしゅくかんげん
326,709,ぶどうかんづめ
327,711,ぶどうじゃむ
328,713,ぶるーべりー
329,715,ぶるーべりーじゃむ
330,717,ぶるーべりーどらいふるーつ
331,719,ほわいとさぽて
332,720,まくわうり
333,722,まるめろ
334,724,まんごー
335,726,まんごすちん
336,728,ろじめろんみどり
337,730,ろじめろんあか
338,732,もも
339,736,ももかんづめ
340,738,ももかんづめきいろ
341,740,ねくたりん
342,742,やまもも
343,744,らいちー
344,746,らずべりー
345,748,りゅうがん
346,750,りんごじゅーすすとれーと
347,752,りんごじゅーすのうしゅくかんげん
348,758,りんごかんづめ
349,760,りんごじゃむ
350,762,えのきだけあぶらいため
351,764,えのきだけびんづめ
352,766,きくらげあぶらいため
353,768,きくらげゆで
354,770,しいたけゆで
355,772,しいたけあぶらいたみ
356,774,はたけしめじゆで
357,776,ぶなしめじゆで
358,778,ぶなしめじあぶらいため
359,780,ほんしめじゆで
360,782,なめこゆで
361,784,えりんぐゆで
362,786,りりんぐやき
363,788,えりんぎあぶらいため
364,790,ひらたけゆで
365,792,まいたけあぶらいため
366,794,まっしゅるーむなま
367,796,まっしゅるーむゆで
368,798,まっしゅるーむあぶらいため
369,800,まっしゅるーむみずに
370,802,やきのり
371,804,うみぶどう
372,806,しおこんぶ
373,808,こんぶつくだに
374,810,ところてん
375,812,ひじきゆで
376,814,ひじきあぶらいため
377,816,おきなわもずく
378,818,あこうだんさしみ
379,820,まあじさしみ
380,822,まあじみずに
381,824,まあじやき
382,826,まあじふらい
383,828,まあじひらき
384,830,まあじからあげ
385,832,まだいさしみ
386,834,あゆやき
387,836,いかなごにぼし
388,838,いかなごつくだに
389,840,いかなごあめに
390,842,いとよりだいさしみ
391,844,うるめいわしさしみ
392,846,いわしまるぼし
393,848,かたくちいわしにぼし
394,850,たづくり
395,852,まいわしさしみ
396,854,まいわしみずに
397,856,まいわしやき
398,858,まいわしふらい
399,860,めざしやき
400,862,なましらす
401,864,しらすぼし
402,866,かたくちいわしみりんぼし
403,868,いわしかんづめみずに
404,870,いわしかんづめあじつけ
405,872,いわしかんづめとまと
406,874,いわしかんづめあぶら
407,876,いわしかんづめかばやき
408,878,あんんちょび
409,880,うなぎしろやき
410,882,うなぎかばやき
411,884,かじかつくだに
412,886,くろかじきさしみ
413,888,まかじきさしみ
414,890,めかじきさしみ
415,892,めかじきやき
416,894,はるかつおさしみ
417,896,かつおさしみ
418,898,そうだかつおさしみ
419,900,かつおぶし
420,902,けずりぶしつくだに
421,904,かつおかくに
422,906,かつおしおから
423,908,まがれいさしみ
424,910,まがれいみずに
425,912,まがれいやき
426,914,こもちがれいみずに
427,916,きゃびあ
428,918,ぎんだらみずに
429,920,ぐちやき
430,922,このしろあまず
431,924,からふとますやき
432,926,からふとますみずに
433,928,ぎんざけやき
434,930,さくらますやき
435,932,しろさけさしみ
436,934,しろさけみずに
437,936,しろさけやき
438,938,いくら
439,939,すじこ　　
440,940,すじこ
441,942,しろさけみずにかんづめ
442,944,あとらんてぃっくさーもんさしみ
443,948,にじますさしみ
444,950,にじますやき
445,952,べにじゃけやき
446,954,べにはけくんせい
447,956,まさばみずに
448,958,まさばやき
449,960,まさばふらい
450,962,ごまさばさしみ
451,964,ごまさばみずに
452,966,ごまさまやき
453,968,さばひらきぼし
454,969,しめさば　　
455,970,しめさば
456,972,さばかんづめみずに
457,974,さばかんづめみそに
458,976,さばかんづめあじつけ
459,978,さんまさしみ
460,980,さんまやき
461,982,さんまひらき
462,984,さんまみりんぼし
463,986,さんまかんづめあじつけ
464,988,さんまかんづめかばやき
465,990,ししゃもやき
466,992,からふとししゃもやき
467,994,しまあじさしみ
468,995,しらうお
469,997,すずきさしみ
470,999,まだいさしみてんねん
471,1001,まだいさしみようしょく
472,1003,まだいみずに
473,1005,まだいやき
474,1007,すけとうだらふらい
475,1009,たらこ
476,1011,やきたらこ
477,1013,からしめんたいこ
478,1015,まだらやき
479,1017,しらこ
480,1019,どじょうみずに
481,1021,にしんひらき
482,1023,にしんくんせい
483,1025,とらふぐさしみ
484,1027,ふなみずに
485,1029,ぶりさしみ
486,1031,ぶりやき
487,1033,はまちさしみ
488,1035,ほっけやき
489,1037,くろまぐろあかみさしみ
490,1039,くろまぐろとろさしみ
491,1041,びんちょうさしみ
492,1043,みなみまぐろあかみさしみ
493,1045,みなみまぐろとろさしみ
494,1047,つなかんらいと
495,1049,つなかんほわいと
496,1051,つなかんふれーく
497,1053,つなかんあぶららいと
498,1055,つなかんあぶらほわいと
499,1057,むつみずに
500,1059,ほしやつめ
501,1061,わかさぎつくだに
502,1063,わかさぎあめに
503,1065,あさりつくだに
504,1067,あさりかんづめみずに
505,1069,あさりかんづめあじつけ
506,1071,あわびみずに
507,1073,えすかるご
508,1075,なまがき
509,1077,かきくんせい
510,1079,さざえさしみ
511,1081,つぶがいさしみ
512,1083,はまぐりみずに
513,1085,やきはまぐり
514,1087,はまぐりつくだに
515,1089,ほたてがいみずに
516,1091,ほたてかいばしらやき
517,1093,ほたてかいばしらにぼし
518,1095,ほたてかいばしらみずに
519,1097,あまえびさしみ
520,1099,いせえびさしみ
521,1101,くるまえびゆで
522,1103,くるまえびやき
523,1105,さくらえびゆで
524,1107,さくらえびにぼし
525,1109,えびのてんぷら
526,1110,ずわいがに
527,1112,ずわいがにかんづめ
528,1113,たらばがに
529,1115,たらばがにかんづめ
530,1117,するめいかみずに
531,1119,するめいかやき
532,1121,するめいかさしみ
533,1123,するめいかてんぷら
534,1124,ほたるいか
535,1126,ほたるいかくんせい
536,1128,ほたるいかつくだに
537,1129,するめ　　
538,1130,するめ
539,1131,さきいか　　
540,1132,さきいか
541,1134,いかくんせい
542,1136,きりいかあめに
543,1137,いかあられ　　
544,1138,いかあられ
545,1140,いかしおから
546,1142,あにつくだに
547,1144,なまうに
548,1146,つぶうに
549,1148,しゃこ
550,1150,かにふうみかまぼこ
551,1152,こんぶまきかまばこ
552,1154,すまきかまぼこ
553,1156,むしかまぼこ
554,1158,やきぬきかまぼこ
555,1159,つみれ　　　　
556,1160,つみれ
557,1162,さつまあげ
558,1164,ぎょにくはむ
559,1166,ぎょにくそーせーじ
560,1168,ろーすとびーふ
561,1170,こーんびーふ
562,1172,びーふじゃーきー
563,1174,すもーくたん
564,1176,ばさし
565,1178,とんかつ
566,1180,ほねつきはむ
567,1182,ぼんれすはむ
568,1184,ろーすはむ
569,1186,しょるだーはむ
570,1188,ぷれすはむ
571,1190,ちょっぷどはむ
572,1192,ういんなー
573,1194,せみどらいそーせーじ
574,1196,どらいそーせーじ
575,1198,ふらんくふるとそーせーじ
576,1200,ぼろにあそーせーじ
577,1202,りおなそーせーじ
578,1204,ればーそーせーじ
579,1206,こんごうそーせーじ
580,1208,ればーぺーすと
581,1210,すもーくればー
582,1212,やきとりかんづめ
583,1214,ちきんなげっと
584,1216,とりつくね
585,1218,いながつくだに
586,1220,ぴーたん
587,1222,うずらたまごかんづめ
588,1224,なまたまご
589,1226,ゆでたまご
590,1228,たまごどうふ
591,1230,だしまきたまご
592,1232,せいにゅう　じゃーじーしゅ
593,1234,せいにゅう　ほるすたいんしゅ
594,1236,ふつうぎゅうにゅう
595,1238,かこうにゅう　のうこう
596,1240,かこうにゅうていしぼう
597,1242,だっしにゅう
598,1244,こーひーぎゅうにゅう
599,1246,ふるーつぎゅうにゅう
600,1248,よーぐるとぜんしむとう
601,1250,よーぐるとていしぼうむとう
602,1252,よーぐるとむしぼうむとう
603,1254,よーぐるとだっしかとう
604,1256,よーぐるとどりんく
605,1258,にゅうさんきんいんりょう
606,1260,やくると
607,1262,えだむちーず
608,1264,えめんたーるちーず
609,1266,かてーじちーず
610,1268,かまんべーるちーず
611,1270,くりーむちーず
612,1272,ごーだちーず
613,1274,ちぇだーちーず
614,1276,ぱるめざんちーず
615,1278,ぶるーちーず
616,1280,まするぽーねちーず
617,1282,もっつぁれらちーず
618,1284,やぎのちーず
619,1286,りこったちーず
620,1288,ぷろせすちーず
621,1290,ちーずすぷれっど
622,1292,あいすくりーむこうしぼう
623,1294,あいすくりーむふつうしぼう
624,1296,あいすみるく
625,1298,らくとあいすふつうしぼう
626,1300,らくとあいすていしぼう
627,1302,そふとくりーむ
628,1304,しゃーべっと
629,1306,ぼにゅう
630,1308,やぎのちち
631,1310,あまなっとう
632,1312,うぐいすもち
633,1314,かすてら
634,1316,きびだんご
635,1317,きりざんしょ
636,1319,きんぎょくとう
637,1321,くしだんごあん
638,1323,みたらしだんご
639,1325,くずこのくずもち
640,1327,こむぎでんぷんのくずもち
641,1329,かんとうふうさくらもち
642,1331,かんさいふうさくらもち
643,1333,だいふくもち
644,1335,わがしのたると
645,1337,ちまき
646,1339,あんいりなまやつはし
647,1341,かすてらまんじゅう
648,1343,くずまんじゅう
649,1345,くりまんじゅう
650,1347,むしまんじゅう
651,1349,あんまん
652,1351,にくまん
653,1353,ねりようかん
654,1355,みずようかん
655,1357,むしようかん
656,1359,あめだま
657,1361,おこし
658,1363,かりんとうくろ
659,1365,かりんとうしろ
660,1367,ごかぼう
661,1369,いそべせんべい
662,1371,かわらせんべい
663,1373,まきせんべい
664,1375,なんぶせんべいごま
665,1377,なんぶせんべいらっかせい
666,1379,しおがま
667,1381,あげせんべい
668,1383,あまからせんべい
669,1385,あられ
670,1387,しょうゆせんべい
671,1391,そばぼーろ
672,1393,まつかぜ
673,1395,みしままめ
674,1397,やつはし
675,1399,らくがん
676,1401,あげぱん
677,1403,あんぱんうすがわ
678,1405,くりーむぱんうすかわ
679,1407,ちょこぱん　うすかわ
680,1409,しゅーくりーむ
681,1411,すぽんじけーき
682,1413,しょーとけーきくだものなし
683,1415,ようがしのたると
684,1417,べいくどちーずけーき
685,1419,れあちーずけーき
686,1421,でにっしゅぺすとりー
687,1423,どーなっつ
688,1425,けーきどーなっつ
689,1427,あっぷるぱい
690,1429,みーとぱい
691,1431,ばたーけーき
692,1433,ほっとけーき
693,1435,わっふるかすたーどくりーむ
694,1439,かすたーどぷりん
695,1441,おれんじぜりー
696,1443,こーひーぜりー
697,1445,むるくぜりー
698,1447,わいんぜりー
699,1451,くらっかー
700,1453,そーだくらっかー
701,1455,さぶれ
702,1457,ちゅうかふうくっきー
703,1459,はーどびすけっと
704,1461,そふとびすけっと
705,1463,ぷれっつぇる
706,1465,ろしあけーき
707,1467,こーんすなっく
708,1469,ぽてとちっぷす
709,1471,あめだま
710,1473,ぜりーきゃんでぃー
711,1475,ぜりーびーんず
712,1477,どろっぷ
713,1479,ばたーすこっち
714,1481,あーもんどちょこれーと
715,1483,ほわいとちょこれーと
716,1485,みるくちょこれーと
717,1487,まろんぐらっせ
718,1489,いたがむ
719,1491,おしるここしあん
720,1493,おしるこつぶあん
721,1495,せいしゅ　ふつう
722,1497,せいしゅ　じゅんまいしゅ
723,1499,せいしゅ　ほんじょうしゅ
724,1501,せいしゅ　ぎんじょうしゅ
725,1503,せいしゅ　じゅんべいぎんじょうしゅ
726,1505,びーる
727,1507,かんびーる
728,1509,ちゅうびんびーる
729,1511,くろびーる
730,1513,すたうとびーる
731,1515,はっぽうしゅ
732,1517,わいんしろ
733,1519,あかわいんひとびん
734,1521,しろわいんひとびん
735,1523,ろぜわいんひとびん
736,1525,あかわいん
737,1527,ろぜわいん
738,1529,しょうこうしゅ
739,1531,ちょうちゅう
740,1533,ういすきー
741,1535,ぶらんでー
742,1537,うおっか
743,1539,まおたいしゅ
744,1541,うめしゅ
745,1543,ごうせいせいしゅ
746,1545,やくようしゅ
747,1547,すいーとわいん
748,1549,せんちゃ
749,1551,かまいりちゃ
750,1553,ほうじちゃ
751,1555,げんまいちゃ
752,1557,うーろんちゃ
753,1559,こうちゃ
754,1561,こーひー
755,1563,かんこーひー
756,1565,ここあ
757,1567,みるくここあ
758,1569,あまざけ
759,1571,こんぶちゃ
760,1573,すぽーつどりんく
761,1575,たんさんじゅーす
762,1577,のんあるこーるびーる
763,1579,むぎちゃ
764,1581,ぎょうざ
765,1583,こーんくりーむすーぷ
766,1585,くりーむころっけ
767,1587,ぽてところっけ
768,1589,いかふらい
769,1591,えびふらい
770,1593,しろみざかなのふらい
771,1595,びーふしちゅー
772,1597,なんすいみねらるうおーたー
773,1599,こうすいみねらるうおーたー
774,1601,たんさんすい
775,1603,のにじゅーす
776,1605,とうふみそしる
777,1607,さんましおやき
778,1609,こーひー
779,1611,みねらるうおーたー
780,1613,ごはんちゅう
781,1615,やさいさらだ
782,1617,みず
783,1618,もろきゅう
784,1620,びーる
785,1622,こうちゃ
786,1624,おにぎりおかか
787,1626,おにぎり　つな
788,1628,おにぎり　うめ
789,1630,ちきんかれーるーのみ
790,1632,おちゃ
791,1634,なめこじる
792,1636,おやこどん
793,1640,なっとう
794,1642,やきししゃも
795,1644,げんまいごはん
796,1646,ぶどう
797,1648,とーすとばたー
798,1650,とーすと
799,1652,りんご
800,1654,りんご
801,1656,ぷるーん
802,1658,かんそうぷるーん
803,1660,たくわんづけ
804,1662,だいふく
805,1664,たんさんすい
806,1666,かしわもち
807,1668,くさもち
808,1670,さくらもちかんとうふう
809,1672,ゆでたほうれんそう
810,1674,とんじる
811,1676,ぴざ
812,1678,かまんべーるちーず
813,1680,すうどん
814,1682,さばのしおやき
815,1684,のにじゅーす
816,1686,さけしおやき
817,1688,みそしる
818,1690,とりてん
819,1692,ばなな
820,1695,とーすとじゃむ
821,1697,しょくぱんろくまいぎりいちまい
822,1699,しょくぱんはちまいぎりいちまい
823,1701,ごぼてんうどん
824,1703,にぎりずし
825,1705,やきとり
826,1707,そーせーじ
827,1709,むしどり
828,1711,あいすこーひー
829,1713,うるめいわししおやき
830,1715,とまとともっつあれらちーずのかぷれーぜ
831,1717,まぐろさしみ
832,1719,やきうどん
833,1721,ろーすとびーふ
834,1723,うめぼし
835,1725,おむれつ
836,1727,きっしゅ
837,1729,すぱげてぃみーとそーす
838,1731,びーふしちゅー
839,1733,けんちんじる
840,1735,ぎゅうどん
841,1737,さんどいっち
842,1739,じぶに
843,1741,かいそうさらだ
844,1743,さーろいんすてーき
845,1745,むしやさい(あーてぃちょーく)
846,1747,むしやさい(あさつき)
847,1749,むしやさい(あしたば)
848,1751,むしやさい(あすぱらがす)
849,1753,むしやさい(いんげん)
850,1755,むしやさい(うど)
851,1757,むしやさい(やまうど)
852,1759,むしやさい(えだまめ)
853,1761,むしやさい(えんだいぶ)
854,1763,むしやさい(さやえんどう)
855,1765,むしやさい(すなっぷえんどう)
856,1767,むしやさい(ぐりーんぴーす)
857,1769,むしやさい(おおさかしろな)
858,1771,むしやさい(おかひじき)
859,1773,むしやさい(おくら)
860,1775,むしやさい(かぶ)
861,1777,むしやさい(かぼちゃ)
862,1779,むしやさい(かりふらわー)
863,1781,むしやさい(きゃべつ)
864,1783,むしやさい(きゅうり)
865,1785,むしやさい(ぎょうじゃにんにく)
866,1787,むしやさい(くれそん)
867,1789,むしやさい(くわい)
868,1791,むしやさい(けーる)
869,1793,むしやさい(こーるらび)
870,1795,むしやさい(ごぼう)
871,1797,むしやさい(こまつな)
872,1799,むしやさい(ししとう)
873,1801,むしやさい(しそ)
874,1803,むしやさい(しゅんぎく)
875,1805,むしやさい(しょうが)
876,1807,むしやさい(しろうり)
877,1809,むしやさい(ずっきーに)
878,1811,むしやさい(せり)
879,1813,むしやさい(せろり)
880,1815,むしやさい(ぜんまい)
881,1817,むしやさい(そらまめ)
882,1819,むしやさい(たあさい)
883,1821,むしやさい(かいわれだいこん)
884,1823,むしやさい(だいこん)
885,1825,むしやさい(たけのこ)
886,1827,むしやさい(ちんげんさい)
887,1829,むしやさい(つくし)
888,1831,むしやさい(とうがん)
889,1833,むしやさい(とうもろこし)
890,1835,むしやさい(やんぐこーん)
891,1837,むしやさい(とまと)
892,1839,むしやさい(みにとまと)
893,1841,むしやさい(とれびす)
894,1843,むしやさい(なす)
895,1845,むしやさい(なずな)
896,1847,むしやさい(ごーや)
897,1849,むしやさい(にがうり)
898,1851,むしやさい(にら)
899,1853,むしやさい(にんじん)
900,1855,むしやさい(みにきゃろっと)
901,1857,むしやさい(にんにく)
902,1859,むしやさい(にんにくのめ)
903,1861,むしやさい(ねぎ)
904,1863,むしやさい(はねぎ)
905,1865,むしやさい(こねぎ)
906,1867,むしやさい(のざわな)
907,1869,むしやさい(のびる)
908,1871,むしやさい(はくさい)
909,1873,むしやさい(ばじる)
910,1875,むしやさい(ぱせり)
911,1877,むしやさい(はつかだいこん)
912,1879,むしやさい(はやとうり)
913,1881,むしやさい(びーつ)
914,1883,むしやさい(ぴーまん)
915,1885,むしやさい(ひろしまな)
916,1887,むしやさい(ふき)
917,1889,むしやさい(ふきのとう)
918,1891,むしやさい(ぶろっこりー)
919,1893,むしやさい(へちま)
920,1895,むしやさい(ほうれんそう)
921,1897,むしやさい(みずな)
922,1899,むしやさい(みょうが)
923,1901,むしやさい(むかご)
924,1903,むしやさい(めきゃべつ)
925,1905,むしやさい(あるふぁるふぁ)
926,1907,むしやさい(だいずもやし)
927,1909,むしやさい(りょくとうもやし)
928,1911,むしやさい(もろへいや)
929,1913,むしやさい(ゆりね)
930,1915,むしやさい(よめな)
931,1917,むしやさい(よもぎ)
932,1919,むしやさい(らっかせい)
933,1921,むしやさい(らっきょう)
934,1923,むしやさい(えしゃれっと)
935,1925,むしやさい(りーき)
936,1927,むしやさい(るっこら)
937,1929,むしやさい(るばーぶ)
938,1931,むしやさい(れたす)
939,1933,むしやさい(りーふれたす)
940,1935,むしやさい(さにーれたす)
941,1937,むしやさい(さんちぇ)
942,1939,むしきのこ(えのきたけ)
943,1941,むしきのこ(きくらげ)
944,1943,むしきのこ(しろきくらげ)
945,1945,むしきのこ(くろあわびたけ)
946,1947,むしきのこ(しいたけ)
947,1949,むしきのこ(かんそうしいたけ)
948,1951,むしきのこ(はたけしめじ)
949,1953,むしきのこ(ぶなしめじ)
950,1955,むしきのこ(ほんしめじ)
951,1957,むしきのこ(たもぎたけ)
952,1959,むしきのこ(なめこ)
953,1961,むしきのこ(うすひらたけ)
954,1963,むしきのこ(えりんぎ)
955,1965,むしきのこ(ひらたけ)
956,1967,むしきのこ(まいたけ)
957,1969,むしきのこ(まっしゅるーむ)
958,1971,むしきのこ(まつたけ)
959,1973,むしきのこ(やなぎまつたけ)
960,1975,あーてぃちょーくのてんぷら
961,1977,あさつきのてんぷら
962,1979,あしたばのてんぷら
963,1981,あすぱらがすのてんぷら
964,1983,いんげんのてんぷら
965,1985,うどのてんぷら
966,1987,やまうどのてんぷら
967,1989,えだまめのてんぷら
968,1991,えんだいぶのてんぷら
969,1993,さやえんどうのてんぷら
970,1995,すなっぷえんどうのてんぷら
971,1997,ぐりーんぴーすのてんぷら
972,1999,おおさかしろなのてんぷら
973,2001,おかひじきのてんぷら
974,2003,おくらのてんぷら
975,2005,かぶのてんぷら
976,2007,かぼちゃのてんぷら
977,2009,かりふらわーのてんぷら
978,2011,きゃべつのてんぷら
979,2013,ぎょうじゃにんにくのてんぷら
980,2015,くれそんのてんぷら
981,2017,くわいのてんぷら
982,2019,けーるのてんぷら
